"","x"
"258",60719.9336748666
"259",63876.3328762655
"260",67215.4650081942
"261",70749.0282593919
"262",74489.5424098182
"263",78450.4116712196
"264",82645.9927284492
"265",87091.6684446561
"266",91803.9277376382
"267",96800.452183281
"268",102100.209955649
"269",107723.557772413
"270",113692.351579569
"271",120030.066781446
"272",126761.928901564
"273",133915.055647898
"274",141518.611453358
"275",149603.975669928
"276",158204.925714105
"277",167357.836593269
"278",177101.898388971
"279",187479.353435435
"280",198535.755111665
"281",210320.25036562
"282",222885.888311093
"283",236289.957485114
"284",250594.354628535
"285",265865.988158535
"286",282177.219842644
"287",299606.348563925
"288",318238.140490753
"289",338164.410437715
"290",359484.659732501
"291",382306.776494193
"292",406747.804888732
"293",432934.790666561
"294",461005.711115174
"295",491110.49848714
"296",523412.167004672
"297",558088.054709776
"298",595331.192740668
"299",635351.816089826
"300",678379.031557417
"301",724662.660481217
"302",774475.275927497
"303",828114.456399127
"304",885905.280793259
"305",948203.092362907
"306",1015396.56285226
"307",1087911.0918387
"308",1166212.58068768
"309",1250811.62548156
"310",1342268.17890159
"311",1441196.73741912
"312",1548272.11739448
"313",1664235.89191686
"314",1789903.56958837
"315",1926172.60712729
"316",2074031.3598311
"317",2234569.08782144
"318",2408987.15184631
"319",2598611.5505394
"320",2804906.9717741
"321",3029492.55450426
"322",3274159.5847175
"323",3540891.38038345
"324",3831885.65618643
"325",4149579.70012718
"326",4496678.74161639
"327",4876187.9454671
"328",5291448.52939575
"329",5746178.57563391
"330",6244519.19164436
"331",6791086.77261663
"332",7391032.23160517
"333",8050108.19448318
"334",8774745.30939505
"335",9572138.99772717
"336",10450348.1800768
"337",11418407.7513452
"338",12486456.8599314
"339",13665885.3741701
"340",14969501.3031105
"341",16411722.3885228
"342",18008795.6126251
"343",19779048.9857276
"344",21743180.7068466
"345",23924591.6487375
"346",26349768.1311581
"347",29048723.1418006
"348",32055505.5783934
"349",35408788.7603264
"350",39152551.4447848
"351",43336866.9423603
"352",48018818.7348628
"353",53263564.3436684
"354",59145573.189717
"355",65750068.9589495
"356",73174712.7011328
"357",81531569.7426048
"358",90949411.7250459
"359",101576414.987185
"360",113583328.44511
"361",127167198.542513
"362",142555756.2796
"363",160012592.460389
"364",179843272.952143
"365",202402576.95456
"366",228103079.303065
"367",257425344.262041
"368",290930055.070059
"369",329272473.137783
"370",373219706.344539
"371",423671371.18344
"372",481684363.407109
"373",548502612.418275
"374",625592893.620566
"375",714688020.018557
"376",817839041.863934
"377",937478466.758826
"378",1076496992.31942
"379",1238336844.78679
"380",1427105572.52472
"381",1647715095.13302
"382",1906052010.96665
"383",2209186687.96221
"384",2565630595.18113
"385",2985653792.70479
"386",3481677638.25051
"387",4068761789.69462
"388",4765209745.06748
"389",5593323809.16465
"390",6580348961.74716
"391",7759656225.5974
"392",9172230588.60406
"393",10868547381.2734
"394",12910945664.0481
"395",15376639533.9176
"396",18361550868.5876
"397",21985203334.6732
"398",26396992164.6418
"399",31784243610.7975
"400",38382610794.7376
"401",46489530793.4066
"402",56481707633.6068
"403",68837910077.8188
"404",84168813161.8197
"405",103256212307.552
"406",127104760018.127
"407",157010504279.368
"408",194652067331.29
"409",242212467487.504
"410",302542603724.195
"411",379381649570.74
"412",477655554081.497
"413",603883269827.865
"414",766732309523.71
"415",977782370517.483
"416",1252580414589.11
"417",1612106242738.69
"418",2084819475469.46
"419",2709534770426.91
"420",3539483919773.74
"421",4648089182096.34
"422",6137219410274.24
"423",8149071798382.09
"424",10883383506983.4
"425",14622532513511.1
"426",19768398941131.3
"427",26896886151323.3
"428",36839160447994.6
"429",50803630334981
"430",70560544032609.2
"431",98723633965932.1
"432",139183458757921
"433",197779974914762
"434",283355843301057
"435",409421434641472
"436",596812275162433
"437",877973062355032
"438",1303935704060302
"439",1955808184525481
"440",2963901998373218
"441",4539946957730012
"442",7032003149032291
"443",11019236109290194
"444",17477628650568390
"445",28073658254087988
"446",45692116542950168
"447",75398722258870800
"448",126222655123503040
"449",214510284643137312
"450",370340568692794816
"451",650011673377361280
"452",1160788492184247296
"453",2110888324086476800
"454",3912465325587912192
"455",7398241351315907584
"456",14287230793889327104
"457",2.8209134343844e+19
"458",57012326192208224256
"459",1.18096772751994e+20
"460",2.51068290532826e+20
"461",5.48617756430911e+20
"462",1.23413113396984e+21
"463",2.86292622383297e+21
"464",6.86152330577613e+21
"465",1.70240559246933e+22
"466",4.38209382095772e+22
"467",1.17301045370881e+23
"468",3.27370477234173e+23
"469",9.55236760996263e+23
"470",2.92311007740332e+24
"471",9.41231067829376e+24
"472",3.20080641191602e+25
"473",1.15421868992367e+26
"474",4.43316966067356e+26
"475",1.82251920480551e+27
"476",8.06351600710024e+27
"477",3.86273786774249e+28
"478",2.01700159780856e+29
"479",1.15670013405713e+30
"480",7.34675030060168e+30
"481",5.21723521659679e+31
"482",4.18691534611643e+32
"483",3.84334529809696e+33
"484",4.09128209048363e+34
"485",5.13057807942426e+35
"486",7.71715957092696e+36
"487",1.42153817455271e+38
"488",3.28497458891660e+39
"489",9.79435895885457e+40
"490",3.89403913092394e+42
"491",2.14637197344293e+44
"492",1.7178907969066e+46
"493",2.11048478345883e+48
"494",4.25629014621749e+50
"495",1.52955784708794e+53
"496",1.08383113008254e+56
"497",1.71850220277263e+59
"498",7.15589619729178e+62
