N18,N19,N20,N21,N22,N23
5014.000000,12582.000000,20888.000000,45558.000000,94416.000000,193146.000000
5708.000000,11762.000000,23684.000000,48790.000000,94374.000000,181020.000000
6244.000000,10506.000000,22518.000000,53604.000000,85706.000000,176844.000000
6622.000000,10170.000000,25584.000000,44628.000000,82646.000000,177476.000000
6520.000000,13570.000000,25696.000000,51456.000000,92314.000000,195244.000000
5860.000000,9918.000000,25920.000000,44963.000000,105376.000000,184102.000000
5788.000000,12002.000000,23820.000000,46706.000000,89920.000000,174578.000000
4646.000000,9872.000000,24510.000000,36840.000000,91744.000000,182124.000000
5498.000000,13390.000000,26214.000000,45250.000000,93246.000000,195000.000000
6424.000000,10972.000000,23390.000000,47056.000000,93964.000000,205366.000000
7246.000000,10794.000000,19132.000000,45502.000000,108364.000000,190822.000000
5826.000000,12746.000000,24880.000000,51282.000000,91028.000000,170258.000000
5182.000000,11320.000000,27918.000000,40396.000000,93344.000000,176018.000000
6798.000000,10396.000000,24868.000000,49318.000000,93034.000000,197886.000000
5238.000000,13626.000000,25592.000000,52802.000000,95624.000000,142012.000000
5554.000000,12950.000000,23478.000000,47734.000000,109946.000000,202380.000000
6289.000000,12790.000000,21544.000000,46120.000000,92278.000000,182684.000000
5136.000000,10152.000000,24652.000000,41596.000000,100418.000000,173226.000000
6552.000000,9680.000000,26808.000000,51157.000000,100602.000000,195268.000000
5076.000000,9174.000000,25486.000000,45912.000000,89316.000000,208282.000000
6276.000000,12528.000000,24538.000000,47868.000000,83130.000000,202340.000000
5316.000000,10268.000000,26998.000000,44306.000000,92502.000000,177618.000000
5652.000000,13142.000000,22640.000000,50138.000000,96460.000000,173670.000000
6372.000000,11160.000000,25498.000000,52378.000000,84514.000000,169032.000000
6052.000000,10716.000000,22200.000000,41498.000000,99718.000000,218258.000000
6256.000000,12392.000000,24144.000000,46954.000000,92012.000000,224668.000000
5820.000000,11890.000000,21262.000000,42742.000000,91280.000000,190718.000000
6124.000000,11050.000000,24242.000000,53134.000000,103072.000000,201022.000000
5570.000000,14886.000000,21376.000000,49448.000000,92544.000000,187690.000000
5652.000000,10600.000000,20946.000000,49082.000000,86600.000000,184102.000000
6591.000000,12992.000000,21082.000000,48976.000000,89922.000000,201114.000000
6170.000000,8586.000000,22490.000000,48902.000000,107308.000000,180518.000000
6740.000000,11944.000000,26432.000000,44210.000000,90954.000000,193468.000000
6452.000000,11546.000000,26592.000000,47354.000000,88890.000000,186436.000000
6516.000000,10414.000000,24334.000000,52396.000000,94078.000000,220410.000000
5188.000000,13048.000000,22932.000000,54169.000000,100910.000000,190600.000000
5422.000000,12004.000000,20366.000000,46686.000000,97412.000000,224980.000000
5996.000000,9937.000000,22992.000000,41806.000000,93398.000000,179458.000000
5810.000000,10718.000000,22810.000000,43470.000000,98478.000000,218623.000000
5634.000000,12670.000000,21538.000000,48322.000000,86684.000000,208478.000000
5952.000000,12258.000000,25278.000000,40616.000000,98172.000000,184848.000000
